,neighbourhood_cleansed,accommodates,property_type,room_type,bathrooms,bedrooms,beds,price,guests_included,extra_people,security_deposit,availability_365,cancellation_policy,new_Hairdryer,new_Kitchen,new_Laptopfriendlyworkspace,new_Indoorfireplace,new_Hottub,new_baby_friendly,new_Iron,new_TV,new_family
198,Centrum-Oost,4,Loft,Private room,1.0,1.0,2.0,170,2,60,0,160,strict,1,1,1,0,0,1,1,1,1
199,Centrum-Oost,2,Apartment,Entire home/apt,1.0,1.0,1.0,170,1,25,1,8,strict,1,1,1,0,0,0,1,0,0
200,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,165,2,0,1,13,strict,1,1,1,0,0,0,1,1,1
201,Centrum-West,4,Apartment,Entire home/apt,1.0,2.0,4.0,190,4,0,1,63,strict,1,1,1,0,0,1,1,1,1
202,Centrum-Oost,2,Apartment,Entire home/apt,1.0,0.0,2.0,100,2,30,0,14,moderate,0,1,1,0,0,0,0,0,0
204,De Pijp - Rivierenbuurt,2,Apartment,Private room,2.0,1.0,1.0,85,1,0,0,74,strict,1,0,1,0,0,0,1,0,0
205,Oud-Oost,2,Boat,Entire home/apt,1.0,1.0,1.0,199,2,0,0,314,strict,0,1,0,0,0,0,0,0,0
206,Centrum-West,3,Loft,Entire home/apt,1.0,1.0,1.0,199,2,50,0,0,moderate,1,1,1,0,0,0,1,1,1
207,Centrum-West,3,Apartment,Private room,1.0,1.0,2.0,100,2,25,1,17,strict,1,1,0,0,0,0,0,0,1
210,Centrum-West,2,Apartment,Private room,1.0,1.0,1.0,55,1,20,1,12,strict,1,1,0,0,0,0,0,0,0
211,Centrum-West,2,Apartment,Private room,1.0,1.0,1.0,70,2,0,0,23,strict,1,1,0,0,0,0,1,0,0
212,Centrum-Oost,2,Apartment,Entire home/apt,1.0,1.0,1.0,140,2,0,1,0,strict,1,1,1,0,0,0,1,1,1
213,Watergraafsmeer,2,Apartment,Entire home/apt,1.0,1.0,1.0,130,2,30,0,202,strict,1,1,1,0,0,0,1,1,0
214,Oud-Oost,4,House,Entire home/apt,2.0,2.0,3.0,150,2,15,0,0,moderate,1,1,1,0,0,0,1,1,1
215,De Baarsjes - Oud-West,3,Apartment,Entire home/apt,1.0,1.0,2.0,129,2,49,1,5,strict,1,1,1,0,0,0,1,1,0
216,Centrum-Oost,4,Apartment,Entire home/apt,1.0,1.0,2.0,160,2,25,1,240,strict,0,1,0,0,0,0,0,1,1
217,De Baarsjes - Oud-West,3,Apartment,Entire home/apt,1.0,2.0,2.0,120,2,50,1,0,strict,1,1,1,0,0,1,1,1,1
218,Zuid,2,Apartment,Entire home/apt,1.0,1.0,1.0,115,1,0,1,55,strict,1,1,1,0,0,0,1,1,1
220,Oostelijk Havengebied - Indische Buurt,3,Apartment,Entire home/apt,1.0,1.0,1.0,145,2,15,1,247,flexible,0,1,0,0,0,0,0,0,1
221,De Baarsjes - Oud-West,4,Apartment,Entire home/apt,1.0,2.0,2.0,185,2,50,0,0,flexible,1,1,1,0,1,1,1,1,1
224,Geuzenveld - Slotermeer,2,Apartment,Entire home/apt,0.0,1.0,1.0,105,2,0,1,155,strict,1,1,0,1,0,0,0,1,1
225,Centrum-Oost,4,Apartment,Entire home/apt,1.0,0.0,4.0,140,2,25,1,324,strict,0,1,0,0,0,0,0,1,1
227,Bos en Lommer,2,Apartment,Entire home/apt,1.0,2.0,1.0,65,1,0,0,0,strict,0,1,0,0,0,0,0,1,1
229,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,99,1,0,0,98,flexible,1,1,0,0,0,0,0,1,0
230,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,28,1,0,0,0,strict,1,1,1,0,0,0,0,1,0
231,Centrum-Oost,2,Apartment,Private room,1.0,1.0,2.0,82,2,0,0,29,moderate,1,1,1,0,0,0,0,0,0
232,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,109,1,0,1,35,moderate,0,1,0,0,0,0,0,1,0
233,De Baarsjes - Oud-West,2,Bed and breakfast,Private room,1.0,1.0,1.0,99,2,24,0,136,moderate,1,1,1,1,0,0,1,1,1
234,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,125,2,25,0,0,strict,0,1,0,0,0,0,0,1,0
235,Zuid,4,Boat,Entire home/apt,1.0,2.0,2.0,150,4,25,1,42,flexible,0,1,0,0,0,0,0,1,1
